nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-07-04,938,74,1012,48.110442,17.127512,Centrum,Petržalka,4,0,7,2025
#1 - Starý Most,2025-07-05,874,75,949,48.110442,17.127512,Centrum,Petržalka,5,1,7,2025
#1 - Starý Most,2025-07-06,708,42,750,48.110442,17.127512,Centrum,Petržalka,6,1,7,2025
#1 - Starý Most,2025-07-07,637,49,686,48.110442,17.127512,Centrum,Petržalka,0,0,7,2025
#1 - Starý Most,2025-07-08,161,24,185,48.110442,17.127512,Centrum,Petržalka,1,0,7,2025
#1 - Starý Most,2025-07-09,532,46,578,48.110442,17.127512,Centrum,Petržalka,2,0,7,2025
#1 - Starý Most,2025-07-10,790,64,854,48.110442,17.127512,Centrum,Petržalka,3,0,7,2025
#1 - Starý Most,2025-07-11,886,49,935,48.110442,17.127512,Centrum,Petržalka,4,0,7,2025
#1 - Starý Most,2025-07-12,943,67,1010,48.110442,17.127512,Centrum,Petržalka,5,1,7,2025
#1 - Starý Most,2025-07-13,961,69,1030,48.110442,17.127512,Centrum,Petržalka,6,1,7,2025
#1 - Starý Most,2025-07-14,1037,75,1112,48.110442,17.127512,Centrum,Petržalka,0,0,7,2025
#1 - Starý Most,2025-07-16,1102,88,1190,48.110442,17.127512,Centrum,Petržalka,2,0,7,2025
#1 - Starý Most,2025-07-17,557,53,610,48.110442,17.127512,Centrum,Petržalka,3,0,7,2025
#1 - Starý Most,2025-07-18,366,51,417,48.110442,17.127512,Centrum,Petržalka,4,0,7,2025
#1 - Starý Most,2025-07-19,890,81,971,48.110442,17.127512,Centrum,Petržalka,5,1,7,2025
#1 - Starý Most,2025-07-20,811,67,878,48.110442,17.127512,Centrum,Petržalka,6,1,7,2025
#1 - Starý Most,2025-07-21,749,61,810,48.110442,17.127512,Centrum,Petržalka,0,0,7,2025
#1 - Starý Most,2025-07-22,1080,77,1157,48.110442,17.127512,Centrum,Petržalka,1,0,7,2025
#1 - Starý Most,2025-07-23,1191,89,1280,48.110442,17.127512,Centrum,Petržalka,2,0,7,2025
#1 - Starý Most,2025-07-24,769,92,861,48.110442,17.127512,Centrum,Petržalka,3,0,7,2025
#1 - Starý Most,2025-07-25,928,63,991,48.110442,17.127512,Centrum,Petržalka,4,0,7,2025
#1 - Starý Most,2025-07-26,325,28,353,48.110442,17.127512,Centrum,Petržalka,5,1,7,2025
#1 - Starý Most,2025-07-27,526,34,560,48.110442,17.127512,Centrum,Petržalka,6,1,7,2025
#1 - Starý Most,2025-07-28,851,55,906,48.110442,17.127512,Centrum,Petržalka,0,0,7,2025
#1 - Starý Most,2025-07-29,1088,65,1153,48.110442,17.127512,Centrum,Petržalka,1,0,7,2025
#1 - Starý Most,2025-07-30,1271,75,1346,48.110442,17.127512,Centrum,Petržalka,2,0,7,2025
#1 - Starý Most,2025-08-01,704,67,771,48.110442,17.127512,Centrum,Petržalka,4,0,8,2025
#1 - Starý Most,2025-08-02,1067,46,1113,48.110442,17.127512,Centrum,Petržalka,5,1,8,2025
#1 - Starý Most,2025-08-03,956,50,1006,48.110442,17.127512,Centrum,Petržalka,6,1,8,2025
#1 - Starý Most,2025-08-04,805,88,893,48.110442,17.127512,Centrum,Petržalka,0,0,8,2025
#1 - Starý Most,2025-08-05,1157,84,1241,48.110442,17.127512,Centrum,Petržalka,1,0,8,2025
#1 - Starý Most,2025-08-06,1167,106,1273,48.110442,17.127512,Centrum,Petržalka,2,0,8,2025
